Date,cpi,fed_rate,unemployment_rate,industrial_output,oil_price,close,sp500_return
2012-02-06,228.329,0.1,8.3,97.0662,96.89,1344.3299560546875,-0.0004238741534883239
2012-02-07,228.329,0.1,8.3,97.0662,98.55,1347.050048828125,0.00202338180532724
2012-02-08,228.329,0.1,8.3,97.0662,98.8,1349.9599609375,0.0021602108339675574
2012-02-09,228.329,0.1,8.3,97.0662,99.88,1351.949951171875,0.0014741105602813498
2012-02-10,228.329,0.1,8.3,97.0662,98.68,1342.6400146484375,-0.006886302644093845
2012-02-11,228.329,0.1,8.3,97.0662,98.68,1342.6400146484375,-0.006886302644093845
2012-02-12,228.329,0.1,8.3,97.0662,98.68,1342.6400146484375,-0.006886302644093845
2012-02-13,228.329,0.1,8.3,97.0662,100.39,1351.77001953125,0.006800039312997219
2012-02-14,228.329,0.1,8.3,97.0662,100.82,1350.5,-0.0009395233752043097
2012-02-15,228.329,0.1,8.3,97.0662,101.82,1343.22998046875,-0.0053832058728249255
2012-02-16,228.329,0.1,8.3,97.0662,102.33,1358.0400390625,0.01102570580548079
2012-02-17,228.329,0.1,8.3,97.0662,103.27,1361.22998046875,0.0023489303072772305
2012-02-18,228.329,0.1,8.3,97.0662,103.27,1361.22998046875,0.0023489303072772305
2012-02-19,228.329,0.1,8.3,97.0662,103.27,1361.22998046875,0.0023489303072772305
2012-02-20,228.329,0.1,8.3,97.0662,103.27,1361.22998046875,0.0023489303072772305
2012-02-21,228.329,0.1,8.3,97.0662,105.88,1362.2099609375,0.000719922777789872
2012-02-22,228.329,0.1,8.3,97.0662,105.99,1357.6600341796875,-0.0033401068031253534
2012-02-23,228.329,0.1,8.3,97.0662,107.44,1363.4599609375,0.004272002277298181
2012-02-24,228.329,0.1,8.3,97.0662,109.39,1365.739990234375,0.0016722378083675604
2012-02-25,228.329,0.1,8.3,97.0662,109.39,1365.739990234375,0.0016722378083675604
2012-02-26,228.329,0.1,8.3,97.0662,109.39,1365.739990234375,0.0016722378083675604
2012-02-27,228.329,0.1,8.3,97.0662,108.49,1367.5899658203125,0.0013545591394890089
2012-02-28,228.329,0.1,8.3,97.0662,106.59,1372.1800537109375,0.0033563334079245166
2012-02-29,228.329,0.1,8.3,97.0662,107.08,1365.6800537109375,-0.0047369876733168725
2012-03-01,228.807,0.13,8.2,96.5609,108.76,1374.0899658203125,0.006158039788692005
2012-03-02,228.807,0.13,8.2,96.5609,106.68,1369.6300048828125,-0.003245756135652589
2012-03-03,228.807,0.13,8.2,96.5609,106.68,1369.6300048828125,-0.003245756135652589
2012-03-04,228.807,0.13,8.2,96.5609,106.68,1369.6300048828125,-0.003245756135652589
2012-03-05,228.807,0.13,8.2,96.5609,106.7,1364.3299560546875,-0.003869693865664492
2012-03-06,228.807,0.13,8.2,96.5609,104.71,1343.3599853515625,-0.015370160722531612
2012-03-07,228.807,0.13,8.2,96.5609,106.16,1352.6300048828125,0.0069006220464606915
2012-03-08,228.807,0.13,8.2,96.5609,106.65,1365.9100341796875,0.009817931917032618
2012-03-09,228.807,0.13,8.2,96.5609,107.4,1370.8699951171875,0.0036312500921620305
2012-03-10,228.807,0.13,8.2,96.5609,107.4,1370.8699951171875,0.0036312500921620305
2012-03-11,228.807,0.13,8.2,96.5609,107.4,1370.8699951171875,0.0036312500921620305
2012-03-12,228.807,0.13,8.2,96.5609,106.34,1371.0899658203125,0.00016046065922270536
2012-03-13,228.807,0.13,8.2,96.5609,106.7,1395.949951171875,0.018131549330308916
2012-03-14,228.807,0.13,8.2,96.5609,105.49,1394.280029296875,-0.0011962619960680376
2012-03-15,228.807,0.13,8.2,96.5609,105.19,1402.5999755859375,0.005967198922915307
2012-03-16,228.807,0.13,8.2,96.5609,107.03,1404.1700439453125,0.0011193985360786751
2012-03-17,228.807,0.13,8.2,96.5609,107.03,1404.1700439453125,0.0011193985360786751
2012-03-18,228.807,0.13,8.2,96.5609,107.03,1404.1700439453125,0.0011193985360786751
2012-03-19,228.807,0.13,8.2,96.5609,108.09,1409.75,0.00397384638616094
2012-03-20,228.807,0.13,8.2,96.5609,105.68,1405.52001953125,-0.003000518154814724
2012-03-21,228.807,0.13,8.2,96.5609,106.87,1402.8900146484375,-0.0018711970276237277
2012-03-22,228.807,0.13,8.2,96.5609,104.98,1392.780029296875,-0.0072065416718331
2012-03-23,228.807,0.13,8.2,96.5609,106.43,1397.1099853515625,0.003108858515779689
2012-03-24,228.807,0.13,8.2,96.5609,106.43,1397.1099853515625,0.003108858515779689
2012-03-25,228.807,0.13,8.2,96.5609,106.43,1397.1099853515625,0.003108858515779689
2012-03-26,228.807,0.13,8.2,96.5609,107.07,1416.510009765625,0.013885824750712539
2012-03-27,228.807,0.13,8.2,96.5609,107.32,1412.52001953125,-0.0028167751776319028
2012-03-28,228.807,0.13,8.2,96.5609,105.4,1405.5400390625,-0.00494150905632218
2012-03-29,228.807,0.13,8.2,96.5609,102.79,1403.280029296875,-0.001607929836799582
2012-03-30,228.807,0.13,8.2,96.5609,103.03,1408.469970703125,0.0036984360198231148
2012-03-31,228.807,0.13,8.2,96.5609,103.03,1408.469970703125,0.0036984360198231148
2012-04-01,229.187,0.14,8.2,97.251,103.03,1408.469970703125,0.0036984360198231148
2012-04-02,229.187,0.14,8.2,97.251,105.25,1419.0400390625,0.007504645877610239
2012-04-03,229.187,0.14,8.2,97.251,104.02,1413.3800048828125,-0.003988635996082901
2012-04-04,229.187,0.14,8.2,97.251,101.53,1398.9599609375,-0.010202524371008104
2012-04-05,229.187,0.14,8.2,97.251,103.29,1398.0799560546875,-0.0006290422223540482
2012-04-06,229.187,0.14,8.2,97.251,103.29,1398.0799560546875,-0.0006290422223540482
2012-04-07,229.187,0.14,8.2,97.251,103.29,1398.0799560546875,-0.0006290422223540482
2012-04-08,229.187,0.14,8.2,97.251,103.29,1398.0799560546875,-0.0006290422223540482
2012-04-09,229.187,0.14,8.2,97.251,102.45,1382.199951171875,-0.011358438273891824
2012-04-10,229.187,0.14,8.2,97.251,101.12,1358.5899658203125,-0.017081454337735447
2012-04-11,229.187,0.14,8.2,97.251,102.66,1368.7099609375,0.007448895819775148
2012-04-12,229.187,0.14,8.2,97.251,103.69,1387.5699462890625,0.013779387810288313
2012-04-13,229.187,0.14,8.2,97.251,102.84,1370.260009765625,-0.012475001040294531
2012-04-14,229.187,0.14,8.2,97.251,102.84,1370.260009765625,-0.012475001040294531
2012-04-15,229.187,0.14,8.2,97.251,102.84,1370.260009765625,-0.012475001040294531
2012-04-16,229.187,0.14,8.2,97.251,102.92,1369.5699462890625,-0.000503600390907244
2012-04-17,229.187,0.14,8.2,97.251,104.23,1390.780029296875,0.015486673802446171
2012-04-18,229.187,0.14,8.2,97.251,102.65,1385.1400146484375,-0.004055288780130728
2012-04-19,229.187,0.14,8.2,97.251,102.38,1376.9200439453125,-0.005934396967956612
2012-04-20,229.187,0.14,8.2,97.251,103.58,1378.530029296875,0.0011692656800530443
2012-04-21,229.187,0.14,8.2,97.251,103.58,1378.530029296875,0.0011692656800530443
2012-04-22,229.187,0.14,8.2,97.251,103.58,1378.530029296875,0.0011692656800530443
2012-04-23,229.187,0.14,8.2,97.251,102.68,1366.93994140625,-0.008407570124922548
2012-04-24,229.187,0.14,8.2,97.251,103.1,1371.969970703125,0.003679773444691614
2012-04-25,229.187,0.14,8.2,97.251,103.72,1390.68994140625,0.013644592157896263
2012-04-26,229.187,0.14,8.2,97.251,104.56,1399.97998046875,0.006680165568110796
2012-04-27,229.187,0.14,8.2,97.251,104.86,1403.3599853515625,0.002414323726029899
2012-04-28,229.187,0.14,8.2,97.251,104.86,1403.3599853515625,0.002414323726029899
2012-04-29,229.187,0.14,8.2,97.251,104.86,1403.3599853515625,0.002414323726029899
2012-04-30,229.187,0.14,8.2,97.251,104.89,1397.9100341796875,-0.0038835019016946193
2012-05-01,228.713,0.16,8.2,97.4595,106.17,1405.8199462890625,0.005658384242170911
2012-05-02,228.713,0.16,8.2,97.4595,105.25,1402.31005859375,-0.002496683664631072
2012-05-03,228.713,0.16,8.2,97.4595,102.56,1391.5699462890625,-0.0076588713308223255
2012-05-04,228.713,0.16,8.2,97.4595,98.49,1369.0999755859375,-0.016147208958519288
2012-05-05,228.713,0.16,8.2,97.4595,98.49,1369.0999755859375,-0.016147208958519288
2012-05-06,228.713,0.16,8.2,97.4595,98.49,1369.0999755859375,-0.016147208958519288
2012-05-07,228.713,0.16,8.2,97.4595,97.86,1369.5799560546875,0.00035058102206497743
2012-05-08,228.713,0.16,8.2,97.4595,97.13,1363.719970703125,-0.004278673417828949
2012-05-09,228.713,0.16,8.2,97.4595,96.8,1354.5799560546875,-0.006702266480503982
2012-05-10,228.713,0.16,8.2,97.4595,97.1,1357.989990234375,0.002517410777005402
2012-05-11,228.713,0.16,8.2,97.4595,96.03,1353.3900146484375,-0.0033873413051768164
2012-05-12,228.713,0.16,8.2,97.4595,96.03,1353.3900146484375,-0.0033873413051768164
