PERMNO,date,PERMCO,PRC,VOL,RET,SHROUT,CFACPR,CFACSHR
22111,2010-08-24,21018,58.01000,14938400,-0.014608,2758070,1,1
22111,2010-08-25,21018,57.98000,11678800,-0.000517,2758070,1,1
22111,2010-08-26,21018,57.80000,12841800,-0.003105,2758070,1,1
22111,2010-08-27,21018,57.60000,11675100,0.005882,2758070,1,1
22111,2010-08-30,21018,57.30000,9240000,-0.005208,2758070,1,1
22111,2010-08-31,21018,57.02000,14572500,-0.004887,2754445,1,1
22111,2010-09-01,21018,58.29000,11603700,0.022273,2754445,1,1
22111,2010-09-02,21018,58.61000,8084500,0.005490,2754445,1,1
22111,2010-09-03,21018,58.93000,7533300,0.005460,2754445,1,1
22111,2010-09-07,21018,58.70000,5626400,-0.003903,2754445,1,1
22111,2010-09-08,21018,58.85000,8412500,0.002555,2754445,1,1
22111,2010-09-09,21018,59.82000,14077700,0.016483,2754445,1,1
22111,2010-09-10,21018,59.98000,8358700,0.002675,2754445,1,1
22111,2010-09-13,21018,60.32000,10706500,0.005669,2754445,1,1
22111,2010-09-14,21018,60.58000,9912800,0.004310,2754445,1,1
22111,2010-09-15,21018,61.05000,9111400,0.007758,2754445,1,1
22111,2010-09-16,21018,61.29000,10496200,0.003931,2754445,1,1
22111,2010-09-17,21018,61.57000,12240500,0.004568,2754445,1,1
22111,2010-09-20,21018,62.09000,11160700,0.008446,2754445,1,1
22111,2010-09-21,21018,61.94000,9449100,-0.002416,2754445,1,1
22111,2010-09-22,21018,61.97000,9353300,0.000484,2754445,1,1
22111,2010-09-23,21018,61.81000,8394900,-0.002582,2754445,1,1
22111,2010-09-24,21018,62.14000,12636800,0.005339,2754445,1,1
22111,2010-09-27,21018,62.03000,7687600,-0.001770,2754445,1,1
22111,2010-09-28,21018,62.43000,12155400,0.006449,2754445,1,1
22111,2010-09-29,21018,62.31000,9596700,-0.001922,2754445,1,1
22111,2010-09-30,21018,61.96000,12845600,-0.005617,2754445,1,1
22111,2010-10-01,21018,61.75000,9773200,-0.003389,2754445,1,1
22111,2010-10-04,21018,61.67000,8710500,-0.001296,2754445,1,1
22111,2010-10-05,21018,62.80000,12439300,0.018323,2754445,1,1
22111,2010-10-06,21018,63.21000,11339700,0.006529,2754445,1,1
22111,2010-10-07,21018,63.22000,9827900,0.000158,2754445,1,1
