PERMNO,date,PERMCO,PRC,VOL,RET,SHROUT,CFACPR,CFACSHR
86755,2013-11-07,35013,81.44000,52066753,-0.018795,499750,1,1
86755,2013-11-08,35013,82.54000,31399305,0.013507,499250,1,1
86755,2013-11-11,35013,82.41000,24724785,-0.001575,496750,1,1
86755,2013-11-12,35013,82.54000,20065748,0.001577,495800,1,1
86755,2013-11-13,35013,83.54000,31253360,0.012115,492150,1,1
86755,2013-11-14,35013,83.80000,31002396,0.003112,493350,1,1
86755,2013-11-15,35013,83.96000,20369903,0.001909,494750,1,1
86755,2013-11-18,35013,83.14000,31467497,-0.009767,484100,1,1
86755,2013-11-19,35013,82.90000,25601534,-0.002887,491950,1,1
86755,2013-11-20,35013,82.70000,32288962,-0.002413,489300,1,1
86755,2013-11-21,35013,83.54000,28020240,0.010157,484800,1,1
86755,2013-11-22,35013,83.99000,24885716,0.005387,488750,1,1
86755,2013-11-25,35013,84.19000,21653644,0.002381,494750,1,1
86755,2013-11-26,35013,84.63000,26519216,0.005226,495200,1,1
86755,2013-11-27,35013,85.22000,21467265,0.006972,496000,1,1
86755,2013-11-29,35013,85.73000,16616685,0.005985,497600,1,1
86755,2013-12-02,35013,85.48000,26220112,-0.002916,497000,1,1
86755,2013-12-03,35013,85.41000,37052531,-0.000819,497050,1,1
86755,2013-12-04,35013,85.49000,37094105,0.000937,504550,1,1
86755,2013-12-05,35013,85.38000,39757318,-0.001287,503550,1,1
86755,2013-12-06,35013,86.00000,36685739,0.007262,503050,1,1
86755,2013-12-09,35013,86.35000,22334684,0.004070,502850,1,1
86755,2013-12-10,35013,86.29000,26811909,-0.000695,501650,1,1
86755,2013-12-11,35013,85.18000,36638043,-0.012864,502750,1,1
86755,2013-12-12,35013,84.96000,33503502,-0.002583,502850,1,1
86755,2013-12-13,35013,84.85000,33941601,-0.001295,504650,1,1
86755,2013-12-16,35013,85.32000,24806251,0.005539,504000,1,1
86755,2013-12-17,35013,85.15000,24725734,-0.001992,500600,1,1
86755,2013-12-18,35013,86.14000,68433756,0.011627,500500,1,1
86755,2013-12-19,35013,85.90000,46337414,-0.002786,497750,1,1
86755,2013-12-20,35013,86.50000,40581635,0.010156,498950,1,1
86755,2013-12-23,35013,87.41000,27977162,0.010520,503800,1,1
86755,2013-12-24,35013,87.45000,13736169,0.000458,508400,1,1
86755,2013-12-26,35013,87.74000,14794096,0.003316,513950,1,1
86755,2013-12-27,35013,87.52000,15837388,-0.002507,513850,1,1
86755,2013-12-30,35013,87.39000,18730939,-0.001485,515150,1,1
86755,2013-12-31,35013,87.96000,24551273,0.006522,515550,1,1
86755,2014-01-02,35013,87.27000,29028898,-0.007845,516250,1,1
86755,2014-01-03,35013,86.64000,35609637,-0.007219,515800,1,1
86755,2014-01-06,35013,86.32000,31993327,-0.003693,513900,1,1
86755,2014-01-07,35013,87.12000,25746738,0.009268,511900,1,1
86755,2014-01-08,35013,87.31000,27112023,0.002181,517350,1,1
